Ngày,Sản phẩm,Đơn giá,Số lượng,Tổng
16/05/2023,Can cỏ voi,100,25,2500000
16/05/2023,Madoca,85,2,170000
16/05/2023,75-44,25,10,250000
16/05/2023,kaly trắng,25,"1,6",40000
16/05/2023,1 dưỡng mì,90,1,90000
20/05/2023,Thùng KCLO3,1250,1,1250000
20/05/2023,Trùm sâu,90,1,90000
20/05/2023,Lớn trái,65,1,65000
20/05/2023,Chai 5 chấm,120,1,120000
21/05/2023,KCLO3,1250,1,1250000
21/05/2023,M3N,95,1,95000
10/07/2023,KCLO3,1250,2,2500000
10/07/2023,Antacol,60,5,300000
11/07/2023,20-15 Trái đất,800,20,16000000
11/07/2023,KCLO3,1250,1,1250000
15/08/2023,Bao 21-10-10,860,2,1720000
26/08/2023,20-20-15 Trái Đất,850,14,11900000
18/09/2023,KCLO3,1250,1,1250000
18/09/2023,Hủ 10-60-10,60,2,120000
18/09/2023,GAM,70,"0,6",42000
18/09/2023,Vua sâu nhện,120,1,120000
18/09/2023,KCLO3,1230,2,2460000
04/10/2023,20-15 Trái Đất,850,11,9350000
04/10/2023,20-15 A9,870,4,3480000
04/10/2023,Voi,55,10,550000
14/10/2023,20-15 TE,850,10,8500000
14/10/2023,Voi,55,10,550000
14/10/2023,Ure,600,2,1200000
14/10/2023,D.A.P Nga,900,2,1800000
06/11/2023,Voi,55,15,825000
06/11/2023,20-15 Trái Đất,850,10,8500000
06/11/2023,Ure,560,5,2800000
18/11/2023,20-15 Trái Đất,850,2,1700000
18/11/2023,Ure,600,2,1200000
10/12/2023,Chai Lydo,90,3,270000
10/12/2023,Thần Hổ,55,3,165000
10/12/2023,c B1,110,2,220000
18/12/2023,20-15,800,1,800000
29/12/2023,Ure,580,1,580000
29/12/2023,20-15 Trái Đất,850,1,850000
29/12/2023,16-16-16,880,3,2640000
29/12/2023,Bao 30-10-10,380,4,1520000
29/12/2023,Lớn Trái,65,3,195000
29/12/2023,Anvil,120,2,240000
29/12/2023,Trùm sâu,90,3,270000
05/12/2023,Can cỏ voi,320,4,1280000
27/01/2024,Canxi sao,70,2,140000
27/01/2024,Vua sâu,80,2,160000
27/01/2024,Chich Hut,10,6,60000
28/01/2024,Can cỏ con kê,300,4,1200000
18/01/2024,Tạo củ khoai mì,50,3,150000
18/01/2024,Antaco,55,1,55000
18/01/2024,Decis,120,1,120000
18/01/2024,Canxi Kali sữa,70,1,70000
18/01/2024,Thần hổ,50,1,50000
18/01/2024,Vua rệp sáp,145,1,145000
18/01/2024,Thần hổ,50,1,50000
